"LOCATION","TIME","Value"
"CAN","2007-01",4.121818
"CAN","2007-02",4.1175
"CAN","2007-03",4.045909
"CAN","2007-04",4.1715
"CAN","2007-05",4.292727
"CAN","2007-06",4.612857
"CAN","2007-07",4.59
"CAN","2007-08",4.428637
"CAN","2007-09",4.356316
"CAN","2007-10",4.362727
"CAN","2007-11",4.121428
"CAN","2007-12",4.01579
"CAN","2008-01",3.848182
"CAN","2008-02",3.828
"CAN","2008-03",3.509
"CAN","2008-04",3.628636
"CAN","2008-05",3.621428
"CAN","2008-06",3.76
"CAN","2008-07",3.750455
"CAN","2008-08",3.5915
"CAN","2008-09",3.540952
"CAN","2008-10",3.668182
"CAN","2008-11",3.571579
"CAN","2008-12",2.945714
"CAN","2009-01",2.812381
"CAN","2009-02",2.960526
"CAN","2009-03",2.885909
"CAN","2009-04",2.954286
"CAN","2009-05",3.202
"CAN","2009-06",3.459091
"CAN","2009-07",3.429091
"CAN","2009-08",3.4645
"CAN","2009-09",3.365714
"CAN","2009-10",3.425238
"CAN","2009-11",3.3925
"CAN","2009-12",3.41619
"CAN","2010-01",3.485
"CAN","2010-02",3.423684
"CAN","2010-03",3.490435
"CAN","2010-04",3.67
"CAN","2010-05",3.4455
"CAN","2010-06",3.297727
"CAN","2010-07",3.185238
"CAN","2010-08",2.949524
"CAN","2010-09",2.881428
"CAN","2010-10",2.766
"CAN","2010-11",3.022381
"CAN","2010-12",3.204762
"CAN","2011-01",3.253
"CAN","2011-02",3.417368
"CAN","2011-03",3.266522
"CAN","2011-04",3.328
"CAN","2011-05",3.151905
"CAN","2011-06",2.987727
"CAN","2011-07",2.9385
"CAN","2011-08",2.446364
"CAN","2011-09",2.196667
"CAN","2011-10",2.296
"CAN","2011-11",2.122381
"CAN","2011-12",1.992
"CAN","2012-01",1.98
"CAN","2012-02",2.021
"CAN","2012-03",2.106818
"CAN","2012-04",2.0645
"CAN","2012-05",1.922273
"CAN","2012-06",1.747619
"CAN","2012-07",1.656191
"CAN","2012-08",1.826818
"CAN","2012-09",1.837895
"CAN","2012-10",1.811818
"CAN","2012-11",1.738095
"CAN","2012-12",1.767895
"CAN","2013-01",1.931364
"CAN","2013-02",1.967895
"CAN","2013-03",1.8515
"CAN","2013-04",1.748636
"CAN","2013-05",1.901818
"CAN","2013-06",2.2445
"CAN","2013-07",2.438182
"CAN","2013-08",2.611428
"CAN","2013-09",2.698
"CAN","2013-10",2.518182
"CAN","2013-11",2.5585
"CAN","2013-12",2.6735
"CAN","2014-01",2.534091
"CAN","2014-02",2.42
"CAN","2014-03",2.454286
"CAN","2014-04",2.444762
"CAN","2014-05",2.315238
"CAN","2014-06",2.298571
"CAN","2014-07",2.194546
"CAN","2014-08",2.062
"CAN","2014-09",2.180952
"CAN","2014-10",2.010455
"CAN","2014-11",2.003158
"CAN","2014-12",1.851905
"CAN","2015-01",1.525714
"CAN","2015-02",1.379474
"CAN","2015-03",1.421364
"CAN","2015-04",1.410952
"CAN","2015-05",1.744
"CAN","2015-06",1.78
"CAN","2015-07",1.569546
"CAN","2015-08",1.3915
"CAN","2015-09",1.481429
"CAN","2015-10",1.463333
